# Logfile created on 2024-03-17 11:07:14 +0100 by logger.rb/v1.6.0
I, [2024-03-17T11:08:02.841001 #77396]  INFO -- : 10-percent-happier-en; 0.002148; 9 chapters
I, [2024-03-17T11:08:02.842345 #77396]  INFO -- : 100-million-years-of-food-en; 0.001324; 9 chapters
I, [2024-03-17T11:08:02.843575 #77396]  INFO -- : 100-things-every-designer-needs-to-know-about-people-en; 0.001211; 9 chapters
I, [2024-03-17T11:08:02.844723 #77396]  INFO -- : 100-ways-to-change-your-life-en; 0.001126; 7 chapters
I, [2024-03-17T11:08:02.845777 #77396]  INFO -- : 100m-leads-en; 0.001033; 7 chapters
I, [2024-03-17T11:08:02.847278 #77396]  INFO -- : 100m-offers-en; 0.001485; 7 chapters
I, [2024-03-17T11:08:02.849052 #77396]  INFO -- : 101-essays-that-will-change-the-way-you-think-en; 0.001723; 13 chapters
I, [2024-03-17T11:08:02.850055 #77396]  INFO -- : 10x-is-easier-than-2x-en; 0.000973; 7 chapters
I, [2024-03-17T11:08:02.851244 #77396]  INFO -- : 12-months-to-1-dollars-million-en; 0.001168; 6 chapters
I, [2024-03-17T11:08:02.853414 #77396]  INFO -- : 12-rules-for-life-en; 0.002151; 14 chapters
I, [2024-03-17T11:08:02.855507 #77396]  INFO -- : 13-things-mentally-strong-parents-dont-do-en; 0.002073; 10 chapters
I, [2024-03-17T11:08:02.858193 #77396]  INFO -- : 13-things-mentally-strong-people-dont-do-en; 0.002668; 15 chapters
I, [2024-03-17T11:08:02.859900 #77396]  INFO -- : 1491-en; 0.001687; 11 chapters
I, [2024-03-17T11:08:02.861804 #77396]  INFO -- : 15-secrets-successful-people-know-about-time-management-en-kevin-kruse; 0.001886; 10 chapters
I, [2024-03-17T11:08:02.863157 #77396]  INFO -- : 168-hours-en; 0.001331; 10 chapters
I, [2024-03-17T11:08:02.863759 #77396]  INFO -- : 18-minutes-en; 0.000586; 7 chapters
I, [2024-03-17T11:08:02.865471 #77396]  INFO -- : 2030-en; 0.001694; 10 chapters
I, [2024-03-17T11:08:02.866839 #77396]  INFO -- : 21-days-to-a-big-idea-en; 0.001352; 9 chapters
I, [2024-03-17T11:08:02.868065 #77396]  INFO -- : 21-lessons-for-the-21st-century-en; 0.001206; 8 chapters
I, [2024-03-17T11:08:02.869028 #77396]  INFO -- : 21st-century-investing-en; 0.000945; 8 chapters
I, [2024-03-17T11:08:02.870365 #77396]  INFO -- : 23-things-they-dont-tell-you-about-capitalism-en; 0.00103; 12 chapters
I, [2024-03-17T11:08:02.871019 #77396]  INFO -- : 28-day-fast-start-day-by-day-en; 0.000632; 6 chapters
I, [2024-03-17T11:08:02.871792 #77396]  INFO -- : 30-lessons-for-loving-en; 0.000755; 8 chapters
I, [2024-03-17T11:08:02.872779 #77396]  INFO -- : 30-ways-to-reboot-your-body-en; 0.000968; 6 chapters
I, [2024-03-17T11:08:02.873850 #77396]  INFO -- : 5-gears-en; 0.001043; 10 chapters
I, [2024-03-17T11:08:02.874789 #77396]  INFO -- : 5-levels-of-leadership-en; 0.000916; 9 chapters
I, [2024-03-17T11:08:02.883335 #77396]  INFO -- : 5-voices-en; 0.007148; 10 chapters
I, [2024-03-17T11:08:02.886099 #77396]  INFO -- : 59-seconds-en; 0.001957; 10 chapters
I, [2024-03-17T11:08:02.886964 #77396]  INFO -- : 60-seconds-and-youre-hired-en; 0.000836; 7 chapters
I, [2024-03-17T11:08:02.889226 #77396]  INFO -- : 7-business-habits-that-drive-high-performance-en; 0.002219; 9 chapters
